category,display_name,id,chat,definition,source,time,method,formula,equipment,link
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: non-supine: all desaturations,rdinonsupall,rdim3pns,Overall non-supine RDI at 3% desaturation,CHAT,Baseline/follow-up PSG,Calculated,rdim3pns = 60*(hrop3 +   hnrop3 + carop3 + canop3 + oarop3 + oanop3 + marop3 + manrop3)/(remepop+nremepop),"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: non-supine: all desaturations,rdinonsupall,rdim4pns,Overall non-supine RDI at 4% desaturation,CHAT,Baseline/follow-up PSG,Calculated,rdim4pns = 60*(hrop4 +   hnrop4 + carop4 + canop4 + oarop4 + oanop4 + marop4 + manrop4)/(remepop+nremepop),"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: non-supine: all desaturations,rdinonsupall,rdim5pns,Overall non-supine RDI at 5% desaturation,CHAT,Baseline/follow-up PSG,Calculated,rdim5pns = 60*(hrop5 +   hnrop5 + carop5 + canop5 + oarop5 + oanop5 + marop5 + manrop5)/(remepop+nremepop),"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: non-supine: 2% desaturation,rdinonsup2percent,rdim2pns,Overall non-supine RDI at 2% desaturation,CHAT,Baseline/follow-up PSG,Calculated,rdim2pns =  60*(hrop2 +   hnrop2 + carop2 + canop2 + oarop2 + oanop2 + marop2 + manrop2)/(remepop+nremepop),"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: non-supine: 3% desaturation,rdinonsup3percent,rdim3pns,Overall non-supine RDI at 3% desaturation,CHAT,Baseline/follow-up PSG,Calculated,rdim3pns = 60*(hrop3 +   hnrop3 + carop3 + canop3 + oarop3 + oanop3 + marop3 + manrop3)/(remepop+nremepop),"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: non-supine: 4% desaturation,rdinonsup4percent,rdim4pns,Overall non-supine RDI at 4% desaturation,CHAT,Baseline/follow-up PSG,Calculated,rdim4pns = 60*(hrop4 +   hnrop4 + carop4 + canop4 + oarop4 + oanop4 + marop4 + manrop4)/(remepop+nremepop),"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: non-supine: 5% desaturation,rdinonsup5percent,rdim5pns,Overall non-supine RDI at 5% desaturation,CHAT,Baseline/follow-up PSG,Calculated,rdim5pns = 60*(hrop5 +   hnrop5 + carop5 + canop5 + oarop5 + oanop5 + marop5 + manrop5)/(remepop+nremepop),"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: REM: all desaturations,rdiremall,rdimrem2p,Overall rem RDI at 2% desaturation,CHAT,Baseline/follow-up PSG,Calculated,rdimrem2p = 60*(hrembp2 + hrop2 + carbp2 + carop2 + oarbp2 + oarop2 + marbp2 + marop2) / minremp,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: REM: all desaturations,rdiremall,rdimrem3p,Overall rem RDI at 3% desaturation,CHAT,Baseline/follow-up PSG,Calculated,rdimrem3p = 60*(hrembp3 + hrop3 + carbp3 + carop3 + oarbp3 + oarop3 + marbp3 + marop3) / minremp,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: REM: all desaturations,rdiremall,rdimrem4p,Overall Rem RDI at 4% desaturation,CHAT,Baseline/follow-up PSG,Calculated,rdimrem4p = 60*(hrembp4 + hrop4 + carbp4 + carop4 + oarbp4 + oarop4 + marbp4 + marop4) / minremp,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: REM: all desaturations,rdiremall,rdimrem5p,Overall rem RDI at 5% desaturation,CHAT,Baseline/follow-up PSG,Calculated,rdimrem5p = 60*(hrembp5 + hrop5 + carbp5 + carop5 + oarbp5 + oarop5 + marbp5 + marop5) / minremp,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: REM:: 2% desaturation,rdirem2percent,rdimrem2p,Overall rem RDI at 2% desaturation,CHAT,Baseline/follow-up PSG,Calculated,rdimrem2p = 60*(hrembp2 + hrop2 + carbp2 + carop2 + oarbp2 + oarop2 + marbp2 + marop2) / minremp,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: REM:: 3% desaturation,rdirem3percent,rdimrem3p,Overall rem RDI at 3% desaturation,CHAT,Baseline/follow-up PSG,Calculated,rdimrem3p = 60*(hrembp3 + hrop3 + carbp3 + carop3 + oarbp3 + oarop3 + marbp3 + marop3) / minremp,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: REM:: 4% desaturation,rdirem4percent,rdimrem4p,Overall Rem RDI at 4% desaturation,CHAT,Baseline/follow-up PSG,Calculated,rdimrem4p = 60*(hrembp4 + hrop4 + carbp4 + carop4 + oarbp4 + oarop4 + marbp4 + marop4) / minremp,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: REM:: 5% desaturation,rdirem5percent,rdimrem5p,Overall rem RDI at 5% desaturation,CHAT,Baseline/follow-up PSG,Calculated,rdimrem5p = 60*(hrembp5 + hrop5 + carbp5 + carop5 + oarbp5 + oarop5 + marbp5 + marop5) / minremp,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: NREM: all desaturations,rdinremall,rdimnr2p,Overall non-rem RDI at 2% desaturation,CHAT,Baseline/follow-up PSG,Calculated,rdimnr2p = 60*(hnrbp2 + hnrop2 + canbp2 + canop2 + oanbp2 + oanop2 + manrbp2 + manrop2) / (slpprdp - minremp),"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: NREM: all desaturations,rdinremall,rdimnr3p,Overall non-rem RDI at 3% desaturation,CHAT,Baseline/follow-up PSG,Calculated,rdimnr3p = 60*(hnrbp3 + hnrop3 + canbp3 + canop3 + oanbp3 + oanop3 + manrbp3 + manrop3) / (slpprdp - minremp),"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: NREM: all desaturations,rdinremall,rdimnr4p,Overall non-rem RDI at 4% desaturation,CHAT,Baseline/follow-up PSG,Calculated,rdimnr4p = 60*(hnrbp4 + hnrop4 + canbp4 + canop4 + oanbp4 + oanop4 + manrbp4 + manrop4) / (slpprdp - minremp),"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: NREM: all desaturations,rdinremall,rdimnr5p,Overall non-rem RDI at 5% desaturation,CHAT,Baseline/follow-up PSG,Calculated,rdimnr5p = 60*(hnrbp5 + hnrop5 + canbp5 + canop5 + oanbp5 + oanop5 + manrbp5 + manrop5) / (slpprdp - minremp),"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: NREM:: 2% desaturation,rdinrem2percent,rdimnr2p,Overall non-rem RDI at 2% desaturation,CHAT,Baseline/follow-up PSG,Calculated,rdimnr2p = 60*(hnrbp2 + hnrop2 + canbp2 + canop2 + oanbp2 + oanop2 + manrbp2 + manrop2) / (slpprdp - minremp),"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: NREM:: 3% desaturation,rdinrem3percent,rdimnr3p,Overall non-rem RDI at 3% desaturation,CHAT,Baseline/follow-up PSG,Calculated,rdimnr3p = 60*(hnrbp3 + hnrop3 + canbp3 + canop3 + oanbp3 + oanop3 + manrbp3 + manrop3) / (slpprdp - minremp),"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: NREM:: 4% desaturation,rdinrem4percent,rdimnr4p,Overall non-rem RDI at 4% desaturation,CHAT,Baseline/follow-up PSG,Calculated,rdimnr4p = 60*(hnrbp4 + hnrop4 + canbp4 + canop4 + oanbp4 + oanop4 + manrbp4 + manrop4) / (slpprdp - minremp),"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: NREM:: 5% desaturation,rdinrem5percent,rdimnr5p,Overall non-rem RDI at 5% desaturation,CHAT,Baseline/follow-up PSG,Calculated,rdimnr5p = 60*(hnrbp5 + hnrop5 + canbp5 + canop5 + oanbp5 + oanop5 + manrbp5 + manrop5) / (slpprdp - minremp),"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08C3 - Sleep Study Data - Respiratory  - Breathing ,Cheyne Stoke breathing,cheynestokebreath,,,,,,,,
08C3 - Sleep Study Data - Respiratory  - Breathing ,Periodic breathing,periodicbreath,,,,,,,,
08D - Sleep Study Data - Stages,NREM sleep time,nremsleep,nremepbp,"Sleep time (NREM, Back)",CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08D - Sleep Study Data - Stages,NREM sleep time,nremsleep,nremepop,"Sleep time (NREM, Other)",CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08D - Sleep Study Data - Stages,REM sleep time,remsleep,minremp,Time in REM sleep,CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08D - Sleep Study Data - Stages,REM sleep time,remsleep,remepbp,"Sleep time (REM, Back)",CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08D - Sleep Study Data - Stages,REM sleep time,remsleep,remepop,"Sleep Time (REM, Other)",CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08D - Sleep Study Data - Stages,REM sleep time,remsleep,timerem,Time REM,CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08D - Sleep Study Data - Stages,REM sleep time,remsleep,timeremp,Percentage time REM,CHAT,Baseline/follow-up PSG,Calculated,Percent of sleep time in REM sleep [100*(number of minutes scored as REM) / (total sleep time)] * 100,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08D - Sleep Study Data - Stages,REM sleep time,remsleep,tmremp,Percentage of sleep time in REM sleep,CHAT,Baseline/follow-up PSG,Calculated,[(Number of minutes scored as REM) / (total sleep time)] * 100,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08D - Sleep Study Data - Stages,Stage N1 sleep time,stagen1sleep,minstg1p,Time in stage 1 sleep,CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08D - Sleep Study Data - Stages,Stage N1 sleep time,stagen1sleep,timest1,Time stage 1,CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08D - Sleep Study Data - Stages,Stage N1 sleep time,stagen1sleep,timest1p,Percentage of time stage 1,CHAT,Baseline/follow-up PSG,Calculated,Percent of sleep time in stage 1 [100*(number of minutes scored as stage 1) / (total sleep time)],"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08D - Sleep Study Data - Stages,Stage N1 sleep time,stagen1sleep,tmstg1p,Percentage of sleep time in stage 1 sleep,CHAT,Baseline/follow-up PSG,Calculated,[(Number of minutes scored as stage 1) / (total sleep time)] * 100 (use calculated variable - sleep wake studies screened out),"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08D - Sleep Study Data - Stages,Stage N2 sleep time,stagen2sleep,minstg2p,Time in stage 2 sleep,CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08D - Sleep Study Data - Stages,Stage N2 sleep time,stagen2sleep,timest2,Time stage 2,CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08D - Sleep Study Data - Stages,Stage N2 sleep time,stagen2sleep,timest2p,Percentage of time stage 2,CHAT,Baseline/follow-up PSG,Calculated,Percent of sleep time in stage 2 [100*(number of minutes scored as stage 2) / (total sleep time)],"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08D - Sleep Study Data - Stages,Stage N2 sleep time,stagen2sleep,tmstg2p,Percentage of sleep time in stage 2 sleep,CHAT,Baseline/follow-up PSG,Calculated,[(Number of minutes scored as stage 2) / (total sleep time)] * 100 (use calculated variable - sleep wake studies screened out),"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08D - Sleep Study Data - Stages,Stage N3 sleep time,stagen3sleep,mnstg34p,Time in stage 3-4 sleep,CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08D - Sleep Study Data - Stages,Stage N3 sleep time,stagen3sleep,timest34,Time stage 3-4,CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08D - Sleep Study Data - Stages,Stage N3 sleep time,stagen3sleep,times34p,Percentage time stage 3-4,CHAT,Baseline/follow-up PSG,Calculated,Percent of sleep time in stage 3-4 [100*(number of minutes scored as stage 3-4) / (total sleep time)],"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08D - Sleep Study Data - Stages,Stage N3 sleep time,stagen3sleep,tmstg34p,Percentage of sleep time in stage 3-4 sleep,CHAT,Baseline/follow-up PSG,Calculated,[(Number of minutes scored as stage 3/4) / (total sleep time)] * 100 (use calculated variable - sleep wake studies screened out),"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08D - Sleep Study Data - Stages,Stage 1 sleep time,stage1sleep,minstg1p,Time in stage 1 sleep,CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08D - Sleep Study Data - Stages,Stage 1 sleep time,stage1sleep,timest1,Time stage 1,CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08D - Sleep Study Data - Stages,Stage 1 sleep time,stage1sleep,timest1p,Percentage of time stage 1,CHAT,Baseline/follow-up PSG,Calculated,Percent of sleep time in stage 1 [100*(number of minutes scored as stage 1) / (total sleep time)],"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08D - Sleep Study Data - Stages,Stage 1 sleep time,stage1sleep,tmstg1p,Percentage of sleep time in stage 1 sleep,CHAT,Baseline/follow-up PSG,Calculated,[(Number of minutes scored as stage 1) / (total sleep time)] * 100,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08D - Sleep Study Data - Stages,Stage 2 sleep time,stage2sleep,minstg2p,Time in stage 2 sleep,CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08D - Sleep Study Data - Stages,Stage 2 sleep time,stage2sleep,timest2,Time stage 2,CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08D - Sleep Study Data - Stages,Stage 2 sleep time,stage2sleep,timest2p,Percentage of time stage 2,CHAT,Baseline/follow-up PSG,Calculated,Percent of sleep time in stage 2 [100*(number of minutes scored as stage 2) / (total sleep time)],"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08D - Sleep Study Data - Stages,Stage 2 sleep time,stage2sleep,tmstg2p,Percentage of sleep time in stage 2 sleep,CHAT,Baseline/follow-up PSG,Calculated,[(Number of minutes scored as stage 2) / (total sleep time)] * 100 ,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08D - Sleep Study Data - Stages,Stage 3 sleep time,stage3sleep,mnstg34p,Time in stage 3-4 sleep,CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08D - Sleep Study Data - Stages,Stage 3 sleep time,stage3sleep,timest34,Time stage 3-4,CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08D - Sleep Study Data - Stages,Stage 3 sleep time,stage3sleep,times34p,Percentage time stage 3-4,CHAT,Baseline/follow-up PSG,Calculated,Percent of sleep time in stage 3-4 [100*(number of minutes scored as stage 3-4) / (total sleep time)],"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08D - Sleep Study Data - Stages,Stage 3 sleep time,stage3sleep,tmstg34p,Percentage of sleep time in stage 3-4 sleep,CHAT,Baseline/follow-up PSG,Calculated,[(Number of minutes scored as stage 3/4) / (total sleep time)] * 100,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08E1 - Sleep Study Data - Arousals -Events,Arousal events,arousevents,arnrembp,"Number of arousals (NREM, Back, all desaturation)",CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08E1 - Sleep Study Data - Arousals -Events,Arousal events,arousevents,arnremop,"Number of arousals (NREM, Other, all desaturations)",CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08E1 - Sleep Study Data - Arousals -Events,Arousal events,arousevents,arrembp,"Number of arousals (REM, Back, all desaturations)",CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08E1 - Sleep Study Data - Arousals -Events,Arousal events,arousevents,arremop,"Number of arousals (REM, Other, all desaturations)",CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08E2 - Sleep Study Data - Arousals - Indices,Arousal index,arousindex,ai,Arousal Index - Compumedics calculated - changed with new AASM rules now have two other variables,CHAT,Baseline/follow-up PSG,Calculated,(Total number of arousals) / (hours of sleep) ,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08E2 - Sleep Study Data - Arousals - Indices,Arousal index,arousindex,ai_all,Overall Arousal Index,CHAT,Baseline/follow-up PSG,Calculated,ai_all = 60*(arrembp + arremop +arnrembp +arnremop) / slpprdp,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08E2 - Sleep Study Data - Arousals - Indices,Arousal index,arousindex,ai_nrem,Arousal Index NREM,CHAT,Baseline/follow-up PSG,Calculated,ai_nrem = 60*(arnrembp +arnremop) / (slpprdp - minremp),"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08E2 - Sleep Study Data - Arousals - Indices,Arousal index,arousindex,ai_rem,Arousal Index REM sleep,CHAT,Baseline/follow-up PSG,Calculated,REM Arousal Index - total arousals in REM sleep per hours of REM sleep(Total number of arousals in REM sleep) / (hours of REM sleep),"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08E2 - Sleep Study Data - Arousals - Indices,Arousal index,arousindex,arsl3ou,Arousal index < 3 verified,CHAT,Baseline/follow-up PSG,Calculated,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08F1 - Sleep Study Data - Limb Movement - Events,Periodic limb movement events,plmevents,lmdelta,Number of limb movements (delta sleep),CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08F1 - Sleep Study Data - Limb Movement - Events,Periodic limb movement events,plmevents,lmnrem,Number of limb movements (NREM),CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08F1 - Sleep Study Data - Limb Movement - Events,Periodic limb movement events,plmevents,lmr,Number of limb movements with respiratory events,CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08F1 - Sleep Study Data - Limb Movement - Events,Periodic limb movement events,plmevents,lmrdelta,Number of limb movements with respiratory events (delta sleep),CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08F1 - Sleep Study Data - Limb Movement - Events,Periodic limb movement events,plmevents,lmrem,Number of limb movements (REM),CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08F1 - Sleep Study Data - Limb Movement - Events,Periodic limb movement events,plmevents,lmrnrem,Number of limb movements with respiratory events (NREM),CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08F1 - Sleep Study Data - Limb Movement - Events,Periodic limb movement events,plmevents,lmrrem,Number of limb movements with respiratory events (REM),CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08F1 - Sleep Study Data - Limb Movement - Events,Periodic limb movement events,plmevents,lmrslp,Number of limb movements with respiratory events (sleep),CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08F1 - Sleep Study Data - Limb Movement - Events,Periodic limb movement events,plmevents,lmrstg1,Number of limb movements with respiratory events (stage 1 sleep),CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08F1 - Sleep Study Data - Limb Movement - Events,Periodic limb movement events,plmevents,lmrstg2,Number of limb movements with respiratory events (stage 2 sleep),CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08F1 - Sleep Study Data - Limb Movement - Events,Periodic limb movement events,plmevents,lmslp,Number of limb movements (sleep),CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08F1 - Sleep Study Data - Limb Movement - Events,Periodic limb movement events,plmevents,lmstg1,Number of limb movements (stage 1 sleep),CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
08F1 - Sleep Study Data - Limb Movement - Events,Periodic limb movement events,plmevents,lmstg2,Number of limb movements (stage 2 sleep),CHAT,Baseline/follow-up PSG,Measured,,"PSG recording systems: (Biologic, Compumedics, Embla, Grass Twin, Xltek); PSG scoring software: Compumedics ProFusion PSG 3 ",
