category,display_name,id,shhs,definition,source,time,method,formula,equipment,link
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,hnrba2,"Number of Hypopnea w/ arousals (NREM, Back, 2% oxygen desaturation)",SHHS1/2,Baseline/Follow-up PSG's,Measured,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,hnrba3,"Number of Hypopnea w/ arousals (NREM, Back, 3% oxygen desaturation)",SHHS1/2,Baseline/Follow-up PSG's,Measured,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,hnrba4,"Number of Hypopnea w/ arousals (NREM, Back, 4% oxygen desaturation)",SHHS1/2,Baseline/Follow-up PSG's,Measured,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,hnrba5,"Number of Hypopnea w/ arousals (NREM, Back, 5% oxygen desaturation)",SHHS1/2,Baseline/Follow-up PSG's,Measured,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,hnrbp,"Number of Hypopnea (NREM, Back, all oxygen desaturations)",SHHS1/2,Baseline/Follow-up PSG's,Measured,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,hnrbp2,"Number of Hypopnea (NREM, Back, 2% oxygen desaturation)",SHHS1/2,Baseline/Follow-up PSG's,Measured,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,hnrbp3,"Number of Hypopnea (NREM, Back, 3% oxygen desaturation)",SHHS1/2,Baseline/Follow-up PSG's,Measured,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,hnrbp4,"Number of Hypopnea (NREM, Back, 4% oxygen desaturation)",SHHS1/2,Baseline/Follow-up PSG's,Measured,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,hnrbp5,"Number of Hypopnea (NREM, Back, 5% oxygen desaturation)",SHHS1/2,Baseline/Follow-up PSG's,Measured,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,hnroa,"Number of Hypopnea w/ arousals (NREM, Other, all oxygen desaturations)",SHHS1/2,Baseline/Follow-up PSG's,Measured,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,hnroa2,"Number of Hypopnea w/ arousals (NREM, Other, 2% oxygen desaturation)",SHHS1/2,Baseline/Follow-up PSG's,Measured,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,hnroa3,"Number of Hypopnea w/ arousals (NREM, Other, 3% oxygen desaturation)",SHHS1/2,Baseline/Follow-up PSG's,Measured,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,hnroa4,"Number of Hypopnea w/ arousals (NREM, Other, 4% oxygen desaturation)",SHHS1/2,Baseline/Follow-up PSG's,Measured,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,hnroa5,"Number of Hypopnea w/ arousals (NREM, Other, 5% oxygen desaturation)",SHHS1/2,Baseline/Follow-up PSG's,Measured,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,hnrop,"Number of Hypopnea (NREM, Other, all oxygen desaturations)",SHHS1/2,Baseline/Follow-up PSG's,Measured,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,hnrop2,"Number of Hypopnea (NREM, Other, 2% oxygen desaturation)",SHHS1/2,Baseline/Follow-up PSG's,Measured,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,hnrop3,"Number of Hypopnea (NREM, Other, 3% oxygen desaturation)",SHHS1/2,Baseline/Follow-up PSG's,Measured,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,hnrop4,"Number of Hypopnea (NREM, Other, 4% oxygen desaturation)",SHHS1/2,Baseline/Follow-up PSG's,Measured,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,hnrop5,"Number of Hypopnea (NREM, Other, 5% oxygen desaturation)",SHHS1/2,Baseline/Follow-up PSG's,Measured,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,hremba,"Number of Hypopnea w/ arousals (REM, Back, all oxygen desaturations)",SHHS1/2,Baseline/Follow-up PSG's,Measured,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,hremba2,"Number of Hypopnea w/ arousals (REM, Back, 2% oxygen desaturation)",SHHS1/2,Baseline/Follow-up PSG's,Measured,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,hremba3,"Number of Hypopnea w/ arousals (REM, Back, 3% oxygen desaturation)",SHHS1/2,Baseline/Follow-up PSG's,Measured,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,hremba4,"Number of Hypopnea w/ arousals (REM, Back, 4% oxygen desaturation)",SHHS1/2,Baseline/Follow-up PSG's,Measured,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,hremba5,"Number of Hypopnea w/ arousals (REM, Back, 5% oxygen desaturation)",SHHS1/2,Baseline/Follow-up PSG's,Measured,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,hrembp,"Number of Hypopnea (REM, Back, all oxygen desaturations)",SHHS1/2,Baseline/Follow-up PSG's,Measured,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,hrembp2,"Number of Hypopnea (REM, Back, 2% oxygen desaturation)",SHHS1/2,Baseline/Follow-up PSG's,Measured,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,hrembp3,"Number of Hypopnea (REM, Back, 3% oxygen desaturation)",SHHS1/2,Baseline/Follow-up PSG's,Measured,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,hrembp4,"Number of Hypopnea (REM, Back, 4% oxygen desaturation)",SHHS1/2,Baseline/Follow-up PSG's,Measured,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,hrembp5,"Number of Hypopnea (REM, Back, 5% oxygen desaturation)",SHHS1/2,Baseline/Follow-up PSG's,Measured,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,hroa,"Number of Hypopnea w/ arousals (REM, Other, all oxygen desaturations)",SHHS1/2,Baseline/Follow-up PSG's,Measured,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,hroa2,"Number of Hypopnea w/ arousals (REM, Other, 2% oxygen desaturation)",SHHS1/2,Baseline/Follow-up PSG's,Measured,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,hroa3,"Number of Hypopnea w/ arousals (REM, Other, 3% oxygen desaturation)",SHHS1/2,Baseline/Follow-up PSG's,Measured,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,hroa4,"Number of Hypopnea w/ arousals (REM, Other, 4% oxygen desaturation)",SHHS1/2,Baseline/Follow-up PSG's,Measured,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,hroa5,"Number of Hypopnea w/ arousals (REM, Other, 5% oxygen desaturation)",SHHS1/2,Baseline/Follow-up PSG's,Measured,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,hrop,"Number of Hypopnea (REM, Other, all oxygen desaturations)",SHHS1/2,Baseline/Follow-up PSG's,Measured,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,hrop2,"Number of Hypopnea (REM, Other, 2% oxygen desaturation)",SHHS1/2,Baseline/Follow-up PSG's,Measured,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,hrop3,"Number of Hypopnea (REM, Other, 3% oxygen desaturation)",SHHS1/2,Baseline/Follow-up PSG's,Measured,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,hrop4,"Number of Hypopnea (REM, Other, 4% oxygen desaturation)",SHHS1/2,Baseline/Follow-up PSG's,Measured,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,hrop5,"Number of Hypopnea (REM, Other, 5% oxygen desaturation)",SHHS1/2,Baseline/Follow-up PSG's,Measured,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopneas/hour,hypopperhr,rdinba,"Hypopnea per hour w/ arousals (NREM, Back, all oxygen desaturations)",SHHS1/2,Baseline/Follow-up PSG's,Calculated,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopneas/hour,hypopperhr,rdinba2,"Hypopnea per hour w/ arousals (NREM, Back, 2% oxygen desaturation)",SHHS1/2,Baseline/Follow-up PSG's,Calculated,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopneas/hour,hypopperhr,rdinba3,"Hypopnea per hour w/ arousals (NREM, Back, 3% oxygen desaturation)",SHHS1/2,Baseline/Follow-up PSG's,Calculated,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopneas/hour,hypopperhr,rdinba4,"Hypopnea per hour w/ arousals (NREM, Back, 4% oxygen desaturation)",SHHS1/2,Baseline/Follow-up PSG's,Calculated,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopneas/hour,hypopperhr,rdinba5,"Hypopnea per hour w/ arousals (NREM, Back, 5% oxygen desaturation)",SHHS1/2,Baseline/Follow-up PSG's,Calculated,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopneas/hour,hypopperhr,rdinbp,"Hypopnea per hour (NREM, Back, all oxygen desaturations)",SHHS1/2,Baseline/Follow-up PSG's,Calculated,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopneas/hour,hypopperhr,rdinbp2,"Hypopnea per hour (NREM, Back, 2% oxygen desaturation)",SHHS1/2,Baseline/Follow-up PSG's,Calculated,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopneas/hour,hypopperhr,rdinbp3,"Hypopnea per hour (NREM, Back, 3% oxygen desaturation)",SHHS1/2,Baseline/Follow-up PSG's,Calculated,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopneas/hour,hypopperhr,rdinbp4,"Hypopnea per hour (NREM, Back, 4% oxygen desaturation)",SHHS1/2,Baseline/Follow-up PSG's,Calculated,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopneas/hour,hypopperhr,rdinbp5,"Hypopnea per hour (NREM, Back, 5% oxygen desaturation)",SHHS1/2,Baseline/Follow-up PSG's,Calculated,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopneas/hour,hypopperhr,rdinoa,"Hypopnea per hour w/ arousals (NREM, Other, all oxygen desaturations)",SHHS1/2,Baseline/Follow-up PSG's,Calculated,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopneas/hour,hypopperhr,rdinoa2,"Hypopnea per hour w/ arousals (NREM, Other, 2% oxygen desaturation)",SHHS1/2,Baseline/Follow-up PSG's,Calculated,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopneas/hour,hypopperhr,rdinoa3,"Hypopnea per hour w/ arousals (NREM, Other, 3% oxygen desaturation)",SHHS1/2,Baseline/Follow-up PSG's,Calculated,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopneas/hour,hypopperhr,rdinoa4,"Hypopnea per hour w/ arousals (NREM, Other, 4% oxygen desaturation)",SHHS1/2,Baseline/Follow-up PSG's,Calculated,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopneas/hour,hypopperhr,rdinoa5,"Hypopnea per hour w/ arousals (NREM, Other, 5% oxygen desaturation)",SHHS1/2,Baseline/Follow-up PSG's,Calculated,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopneas/hour,hypopperhr,rdinop,"Hypopnea per hour (NREM, Other, all oxygen desaturations)",SHHS1/2,Baseline/Follow-up PSG's,Calculated,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopneas/hour,hypopperhr,rdinop2,"Hypopnea per hour (NREM, Other, 2% oxygen desaturation)",SHHS1/2,Baseline/Follow-up PSG's,Calculated,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopneas/hour,hypopperhr,rdinop3,"Hypopnea per hour (NREM, Other, 3% oxygen desaturation)",SHHS1/2,Baseline/Follow-up PSG's,Calculated,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopneas/hour,hypopperhr,rdinop4,"Hypopnea per hour (NREM, Other, 4% oxygen desaturation)",SHHS1/2,Baseline/Follow-up PSG's,Calculated,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopneas/hour,hypopperhr,rdinop5,"Hypopnea per hour (NREM, Other, 5% oxygen desaturation)",SHHS1/2,Baseline/Follow-up PSG's,Calculated,,"Baseline PSG: Compumedics P-Series Sleep Monitoring System; Compumedics ProFusion PSG scoring software (Replay DOS version)/Follow-up PSG: Compumedics P-series Sleep Monitoring System, version 3; Compumedics ProFusion PSG 1 scoring software (Replay converted to windows version)",
