category,display_name,id,mesa,definition,source,time,method,formula,equipment,link
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: supine: 3% desaturation,rdisup3percent,rdi3ps5,Calculated - Overall Supine RDI At 3% Desat,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: supine: 4% desaturation,rdisup4percent,rdi4ps5,Calculated - Overall Supine RDI At 4% Desat,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: supine: 5% desaturation,rdisup5percent,rdi5ps5,Calculated - Overall Supine RDI At 5% Desat,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: non-supine: all desaturations,rdinonsupall,rdi0pns5,Calculated - Overall Non-Supine RDI At 0% Desat,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: non-supine: 2% desaturation,rdinonsup2percent,rdi2pns5,Calculated - Overall Non-Supine RDI At 2% Desat,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: non-supine: 3% desaturation,rdinonsup3percent,rdi3pns5,Calculated - Overall Non-Supine RDI At 3% Desat,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: non-supine: 4% desaturation,rdinonsup4percent,rdi4pns5,Calculated - Overall Non-Supine RDI At 4% Desat,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: non-supine: 5% desaturation,rdinonsup5percent,rdi5pns5,Calculated - Overall Non-Supine RDI At 5% Desat,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: REM: all desaturations,rdiremall,rdirem0p5,Calculated - Overall REM RDI At 0% Desat,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: REM:: 2% desaturation,rdirem2percent,rdirem2p5,Calculated - Overall REM RDI At 2% Desat,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: REM:: 3% desaturation,rdirem3percent,rdirem3p5,Calculated - Overall REM RDI At 3% Desat,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: REM:: 4% desaturation,rdirem4percent,rdirem4p5,Calculated - Overall REM RDI At 4% Desat,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: REM:: 5% desaturation,rdirem5percent,rdirem5p5,Calculated - Overall REM RDI At 5% Desat,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: NREM: all desaturations,rdinremall,rdirem5p5,Calculated - Overall Non-REM RDI At 0% Desat,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: NREM:: 2% desaturation,rdinrem2percent,rdinr2p5,Calculated - Overall Non-REM RDI At 2% Desat,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: NREM:: 3% desaturation,rdinrem3percent,rdinr3p5,Calculated - Overall Non-REM RDI At 3% Desat,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: NREM:: 4% desaturation,rdinrem4percent,rdinr4p5,Calculated - Overall Non-REM RDI At 4% Desat,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: NREM:: 5% desaturation,rdinrem5percent,rdinr5p5,Calculated - Overall Non-REM RDI At 5% Desat,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C3 - Sleep Study Data - Respiratory  - Breathing ,Cheyne Stoke breathing,cheynestokebreath,,,,,,,,
08C3 - Sleep Study Data - Respiratory  - Breathing ,Periodic breathing,periodicbreath,,,,,,,,
08D - Sleep Study Data - Stages,NREM sleep time,nremsleep,,,,,,,,
08D - Sleep Study Data - Stages,REM sleep time,remsleep,timeremp5,Calculated - Pct Time REM,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08D - Sleep Study Data - Stages,REM sleep time,remsleep,timerem5,Calculated - Time REM Minutes,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08D - Sleep Study Data - Stages,Stage N1 sleep time,stagen1sleep,,,,,,,,
08D - Sleep Study Data - Stages,Stage N2 sleep time,stagen2sleep,,,,,,,,
08D - Sleep Study Data - Stages,Stage N3 sleep time,stagen3sleep,,,,,,,,
08D - Sleep Study Data - Stages,Stage 1 sleep time,stage1sleep,timest1p5,Calculated - Pct Time Stage 1,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08D - Sleep Study Data - Stages,Stage 1 sleep time,stage1sleep,timest15,Calculated - Time Stage 1 Minutes,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08D - Sleep Study Data - Stages,Stage 2 sleep time,stage2sleep,timest2p5,Calculated - Pct Time Stage 2,,,,,,
08D - Sleep Study Data - Stages,Stage 2 sleep time,stage2sleep,timest25,Calculated - Time Stage 2 Minutes,,,,,,
08D - Sleep Study Data - Stages,Stage 3 sleep time,stage3sleep,times34p5,Calculated - Pct Time Stage 3-4,,,,,,
08D - Sleep Study Data - Stages,Stage 3 sleep time,stage3sleep,timest345,Calculated - Time Stage 3-4 Minutes,,,,,,
08E1 - Sleep Study Data - Arousals -Events,Arousal events,arousevents,arrembp5,"# Of Arousals (REM, Back, All Desats)",,,,,,
08E1 - Sleep Study Data - Arousals -Events,Arousal events,arousevents,arremop5,"# Of Arousals (REM, Other, All Desats)",,,,,,
08E1 - Sleep Study Data - Arousals -Events,Arousal events,arousevents,arnrembp5,"# Of Arousals (NREM, Back, All Desats)",,,,,,
08E1 - Sleep Study Data - Arousals -Events,Arousal events,arousevents,arnremop5,"# Of Arousals (NREM, Other, All Desats)",,,,,,
08E2 - Sleep Study Data - Arousals - Indices,Arousal index,arousindex,ahrembp5,"Arousals Per Hour (REM, Back, All Desats)",,,,,,
08E2 - Sleep Study Data - Arousals - Indices,Arousal index,arousindex,ahremop5,"Arousals Per Hour (REM, Other, All Desats)",,,,,,
08E2 - Sleep Study Data - Arousals - Indices,Arousal index,arousindex,ahnrembp5,"Arousals Per Hour (NREM, Back, All Desats)",,,,,,
08E2 - Sleep Study Data - Arousals - Indices,Arousal index,arousindex,ahnremop5,"Arousals Per Hour (NREM, Other, All Desats)",,,,,,
08E2 - Sleep Study Data - Arousals - Indices,Arousal index,arousindex,ai_all5,Calculated - Overall Arousal Index,,,,,,
08E2 - Sleep Study Data - Arousals - Indices,Arousal index,arousindex,ai_rem5,Calculated - Arousal Index REM Sleep,,,,,,
08E2 - Sleep Study Data - Arousals - Indices,Arousal index,arousindex,ai_nrem5,Calculated - Arousal Index Non-Rem,,,,,,
08F1 - Sleep Study Data - Limb Movement - Events,Periodic limb movement events,plmevents,noplm5,# Of PLM During Sleep,,,,,,
08F1 - Sleep Study Data - Limb Movement - Events,Periodic limb movement events with arousal,plmeventsarous,,,,,,,,
08F2 - Sleep Study Data - Limb Movement - Indices,Periodic limb movement events with arousal index,plmeventsarousindex,avgplma5,Number Of PLM With Arousals Per Hour Of Sleep,,,,,,
08F2 - Sleep Study Data - Limb Movement - Indices,Periodic limb movement index,plmindex,avgplm5,# Of PLM Per Hour Of Sleep,,,,,,
08F2 - Sleep Study Data - Limb Movement - Indices,Periodic limb movement index,plmindex,avgnplm5,# Of PLM Per Hour Of NREM Sleep,,,,,,
08F2 - Sleep Study Data - Limb Movement - Indices,Periodic limb movement index,plmindex,avgrplm5,# Of PLM Per Hour Of REM Sleep,,,,,,
08G1 - Sleep Study Data - Oxygen Saturation - Percent Time,Percent sleep time oxygen saturation < 70%,sleepo2lt70,,,,,,,,
08G1 - Sleep Study Data - Oxygen Saturation - Percent Time,Percent sleep time oxygen saturation < 75%,sleepo2lt75,pctlt755,Calculated - Pct Time < 75% Desat,,,,,,
08G1 - Sleep Study Data - Oxygen Saturation - Percent Time,Percent sleep time oxygen saturation < 80%,sleepo2lt80,pctsa80h5,% Sleep Time SaO2 Is < 80%,,,,,,
08G1 - Sleep Study Data - Oxygen Saturation - Percent Time,Percent sleep time oxygen saturation < 80%,sleepo2lt80,pctlt805,Calculated - Pct Time < 80% Desat,,,,,,
08G1 - Sleep Study Data - Oxygen Saturation - Percent Time,Percent sleep time oxygen saturation < 85%,sleepo2lt85,pctsa85h5,% Sleep Time SaO2 Is < 85%,,,,,,
08G1 - Sleep Study Data - Oxygen Saturation - Percent Time,Percent sleep time oxygen saturation < 85%,sleepo2lt85,pctlt855,Calculated - Pct Time < 85% Desat,,,,,,
08G1 - Sleep Study Data - Oxygen Saturation - Percent Time,Percent sleep time oxygen saturation < 88%,sleepo2lt88,,,,,,,,
08G1 - Sleep Study Data - Oxygen Saturation - Percent Time,Percent sleep time oxygen saturation < 90%,sleepo2lt90,pctsa90h5,% Sleep Time SaO2 Is < 90%,,,,,,
08G1 - Sleep Study Data - Oxygen Saturation - Percent Time,Percent sleep time oxygen saturation < 90%,sleepo2lt90,pctlt905,Calculated - Pct Time < 90% Desat,,,,,,
08G1 - Sleep Study Data - Oxygen Saturation - Percent Time,Percent sleep time oxygen saturation < 92%,sleepo2lt92,pctle925,Calculated - Pct Time Sleep <= 92% Desat,,,,,,
08G1 - Sleep Study Data - Oxygen Saturation - Percent Time,Percent sleep time oxygen saturation < 95%,sleepo2lt95,pctsa95h5,% Sleep Time SaO2 Is < 95%,,,,,,
08G2 - Sleep Study Data - Oxygen Saturation - Average,Average oxygen saturation during sleep,avgo2duringsleep,avsao2rh5,Avg. SaO2 % During REM Sleep,,,,,,
08G2 - Sleep Study Data - Oxygen Saturation - Average,Average oxygen saturation during sleep,avgo2duringsleep,avsao2nh5,Avg. SaO2 % During NREM Sleep,,,,,,
08G2 - Sleep Study Data - Oxygen Saturation - Average,Average oxygen saturation during sleep,avgo2duringsleep,sao2rem5,Calculated - Avg SaO2 REM,,,,,,
08G2 - Sleep Study Data - Oxygen Saturation - Average,Average oxygen saturation during sleep,avgo2duringsleep,sao2nrem5,Calculated - Avg SaO2 NREM,,,,,,
08G2 - Sleep Study Data - Oxygen Saturation - Average,Average oxygen saturation during sleep,avgo2duringsleep,avgsat5,Calculated - Avg SaO2 In Sleep,,,,,,
08G2 - Sleep Study Data - Oxygen Saturation - Average,Average oxygen saturation with respiratory events,avgo2respevents,,,,,,,,
08G3 - Sleep Study Data - Oxygen Saturation - Nadir,Nadir oxygen saturation during sleep,nadiro2duringsleep,mndrbp5,"Min. SaO2 (REM, Back, All Desats) (%)",,,,,,
08G3 - Sleep Study Data - Oxygen Saturation - Nadir,Nadir oxygen saturation during sleep,nadiro2duringsleep,mndrop5,"Min. SaO2 (REM, Other, All Desats) (%)",,,,,,
08G3 - Sleep Study Data - Oxygen Saturation - Nadir,Nadir oxygen saturation during sleep,nadiro2duringsleep,mndnbp5,"Min. SaO2 (NREM, Back, All Desats) (%)",,,,,,
08G3 - Sleep Study Data - Oxygen Saturation - Nadir,Nadir oxygen saturation during sleep,nadiro2duringsleep,mndnop5,"Min. SaO2 (NREM, Other, All Desats) (%)",,,,,,
08G3 - Sleep Study Data - Oxygen Saturation - Nadir,Nadir oxygen saturation during sleep,nadiro2duringsleep,mnsao2rh5,Min. SaO2 % During REM Sleep,,,,,,
08G3 - Sleep Study Data - Oxygen Saturation - Nadir,Nadir oxygen saturation during sleep,nadiro2duringsleep,mnsao2nh5,Min. SaO2 % During NREM Sleep,,,,,,
08G3 - Sleep Study Data - Oxygen Saturation - Nadir,Nadir oxygen saturation during sleep,nadiro2duringsleep,losao2r5,Calculated - Min SaO2 REM,,,,,,
08G3 - Sleep Study Data - Oxygen Saturation - Nadir,Nadir oxygen saturation during sleep,nadiro2duringsleep,losao2nr5,Calculated - Min SaO2 NREM,,,,,,
08G3 - Sleep Study Data - Oxygen Saturation - Nadir,Nadir oxygen saturation during sleep,nadiro2duringsleep,minsat5,PSG Report: Calculated - Min SaO2 In Sleep,,,,,,
08G3 - Sleep Study Data - Oxygen Saturation - Nadir,Nadir oxygen saturation with respiratory events,nadiro2respevents,,,,,,,,
08G4 - Sleep Study Data - Oxygen Saturation -  Indices,Oxygen desaturation index,o2desatindex,,,,,,,,
08H - Sleep Study Data - Heart Rate,Average heart rate,avgheartrate,bpmavg5,Average Heart Rate (BPm) During Sleep,,,,,,
08I - Sleep Study Data - Electrocardiogram - Arrhythmia,Atrial fibrillation - polysomonogram - paroxysmal,afibpsgparox,,,,,,,,
08I - Sleep Study Data - Electrocardiogram - Arrhythmia,Atrial fibrillation - polysomonogram - persistent,afibpsgpersist,,,,,,,,
08J - Sleep Study Data - Quality,Quality of sleep study,sleepstudyquality,overall5,PSG QS: Overall Study Quality Grade,,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,que15,PSG QS: E1 Signal Quality,,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,que25,PSG QS: E2 Signal Quality,,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,quchin5,PSG QS: Chin Signal Quality,,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,qufzm15,"PSG QS: Fz-Cz Signal Quality - EEG - Mismatched Variable Name And Label. Confirmed As ""Fz-Cz"" Signal.",,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,quc45,"PSG QS: Cz-Oz Signal Quality-EEG Mismatched Variable Name And Label. Confirmed As ""Cz-Oz"" Signal.",,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,quo2m15,"PSG QS: C4-M1 Signal Quality-EEG Mismatched Variable Name And Label. Confirmed As ""C4-M1"" Signal.",,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,quecg5,PSG QS: ECG Signal Quality,,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,qulimb5,PSG QS: Limb Signal Quality,,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,quair5,PSG QS: Airflow Signal Quality,,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,quxflow5,PSG QS: Cannula Flow Signal Quality,,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,quchest5,PSG QS: Chest Signal Quality,,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,quabdo5,PSG QS: Abdo Signal Quality,,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,quoxim5,PSG QS: Spo2 Signal Quality,,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,qupleth5,PSG QS: Pleth Signal Quality,,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,qucasn5,PSG QS: Cannula Snore Signal Quality,,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,m15,PSG QS: Signal Quality Issues Found On M1 Signal,,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,fpz5,PSG QS: Signal Quality Issues Found On Fpz Signal,,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,ref5,PSG QS: Signal Quality Issues Found On Reference / Ground Signal,,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,posn5,PSG QS: Signal Quality Issues Found On Position Signal,,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,overall5,PSG QS: Overall Study Quality Grade,,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,slewake5,PSG QS: Study Scored Sleep / Wake Only (All Sleep Scored As N2 And No Arousals Scored Due To Poor Quality EEG),,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,ahiov505,PSG QS: Abnormal Referral - AHI> 50,,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,sao2lt855,PSG QS: Urgent Referral - O2Sat < 85% For >10% Total Sleep Time,,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,unuhrou5,PSG QS: Urgent Referral - Unusual HR/ECG (categorical),,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,unuhrou4a5,PSG QS: Urgent Referral - Unusual HR: 2nd Or 3rd Degree Block,,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,unuhrou4b5,PSG QS: Urgent Referral - Unusual HR: Acute St Segment,,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,unuhrou4c5,PSG QS: Urgent Referral - Unusual HR: Nsvt 3-Beat Run,,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,unuhrou4d5,PSG QS: Urgent Referral - Unusual HR: HR Above 150 BPm For >= 2 Min,,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,unuhrou4e5,PSG QS: Urgent Referral - Unusual HR: HR < 30 BPm For >= 2 Min,,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,unuhrou4f5,PSG QS: Urgent Referral - Unusual HR: Other,,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,recbeaw5,PSG QS: Data Lost - Recording Ended Before Wake,,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,losbeg5,PSG QS: Data Lost At Beginning Of Study,,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,losend5,PSG QS: Data Lost At End Of Study,,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,losoth5,PSG QS: Data Lost During Study,,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,wakslepr5,PSG QS: Scoring Stage Wake/Sleep Unreliable,,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,stg1stg2pr5,PSG QS: Scoring Stage1/Stage2 Unreliable,,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,stg2stg3pr5,PSG QS: Scoring Stage2/Deep Sleep Unreliable,,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,remnrempr5,PSG QS: Scoring REM/NREM Unreliable,,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,arunrel5,PSG QS: Scoring Arousals Unreliable,,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,remarunrel5,PSG QS: Scoring Arousals In REM (only) Unreliable,,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,respevpr5,PSG QS: Scoring Respiratory Events (RDI) Unreliable,,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,apnhyppr5,PSG QS: Scoring Apnea/Hypopnea Unreliable,,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,abnoreeg5,PSG QS: Abnormal Awake EEG,,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,alpdel5,PSG QS: Physiologic Alpha Intrusion,,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,period5,PSG QS: Periodic Breathing >=10 Min,,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,lagbreath5,PSG QS: Periodic Large Breaths,,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,npflow5,PSG QS: Flow Limitation,,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,plmwake5,PSG QS: Leg Movements In Wake,,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,unustgou5,PSG QS: Unusual Staging,,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,arsl3ou5,PSG QS: Arousal Index < 3 Verified,,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,maxresou5,PSG QS: Long Respiratory Events Verified,,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,plmou5,PSG QS: PLM > 100 Verified,,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,scorid5,PSG QS: Scorer ID,,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,lighoff5,PSG QS: Participant Reported Time To Bed,,,,,,
08K - Sleep Study Data - End-Tidal CO2,Capnograph type,,,,,,,,,
08K - Sleep Study Data - End-Tidal CO2,Hours of usable CO2,,,,,,,,,
08K - Sleep Study Data - End-Tidal CO2,Average end-tidal CO2 - NREM,,,,,,,,,
08K - Sleep Study Data - End-Tidal CO2,Average end-tidal CO2 - NREM - normalized for capnograph type,,,,,,,,,
08K - Sleep Study Data - End-Tidal CO2,Average end-tidal CO2 - REM,avgco2rem,,,,,,,,
08K - Sleep Study Data - End-Tidal CO2,Average end-tidal CO2 - REM - normalized for capnograph type,avgco2remnorm,,,,,,,,
08K - Sleep Study Data - End-Tidal CO2,Baseline end-tidal CO2 - asleep,baseco2asleep,,,,,,,,
08K - Sleep Study Data - End-Tidal CO2,Baseline end-tidal CO2 - asleep - normalized for capnograph type,baseco2asleepnorm,,,,,,,,
08K - Sleep Study Data - End-Tidal CO2,Baseline end-tidal CO2 - awake,baseco2awake,,,,,,,,
08K - Sleep Study Data - End-Tidal CO2,Baseline end-tidal CO2 - awake - normalized for capnograph type,baseco2awakenorm,,,,,,,,
08K - Sleep Study Data - End-Tidal CO2,Peak end-tidal CO2 - asleep,peakco2asleep,,,,,,,,
08K - Sleep Study Data - End-Tidal CO2,Peak end-tidal CO2 - asleep - normalized for capnograph type,peakco2asleepnorm,,,,,,,,
08K - Sleep Study Data - End-Tidal CO2,Percentage of total sleep time where end-tidal CO2 > 45 mmHg,percentco2gt45,,,,,,,,
08K - Sleep Study Data - End-Tidal CO2,Percentage of total sleep time where end-tidal CO2 > 45 mmHg - normalized for capnograph type,percentco2gt45norm,,,,,,,,
08K - Sleep Study Data - End-Tidal CO2,Percentage of total sleep time where end-tidal CO2 > 50 mmHg,percentco2gt50,,,,,,,,
08K - Sleep Study Data - End-Tidal CO2,Percentage of total sleep time where end-tidal CO2 > 50 mmHg - normalized for capnograph type,percentco2gt50norm,,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy QS: # of Good Days,gooddays5,gooddays5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy QS: # of Invalid Nights,nightsinvalid5,nightsinvalid5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy QS: # of Nights Recorded,nightsrec5,nightsrec5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy QS: # of Valid Nights,nightsvalid5,nightsvalid5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy QS: # of Weekdays,weekdays5,weekdays5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy QS: # of Weekend Days,weekenddays5,weekenddays5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy QS: Data Collection End Time,timeend5,timeend5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy QS: Data Collection Start Time,timestart5,timestart5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy QS: Days From Exam 5 To Study Date,stdyady5c,stdyady5c,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy QS: Diary Completeness,diarycomplete5,diarycomplete5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy QS: Diary Present,diarypresent5,diarypresent5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy QS: Overall Quality Grading,actquality5,actquality5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy QS: Overall Quality Grading (QS),overallqual5,overallqual5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy QS: Sleep Journal Received,sleepjournal5,sleepjournal5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Average Duration Rest,dur_avg_rest5,dur_avg_rest5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Average Sleep % Sleep,pslp_avg_sleep5,pslp_avg_sleep5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Average Sleep % Wake,pwake_avg_sleep5,pwake_avg_sleep5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Average Sleep Efficiency (%),eff_avg_sleep5,eff_avg_sleep5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Average Sleep Number Of Wake Bouts,wake_bouts_avg_sleep5,wake_bouts_avg_sleep5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Average Sleep Onset Latency (Minutes),latency_avg_sleep5,latency_avg_sleep5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Average Sleep Sleep Time (Minutes),slptime_avg_sleep5,slptime_avg_sleep5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Average Sleep Wake Time (Minutes),wake_avg_sleep5,wake_avg_sleep5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Average Sleep Waso (Minutes),waso_avg_sleep5,waso_avg_sleep5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Mean Bedtime,mbedt5,mbedt5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Mean Bedtime Weekdays,mbedtwk5,mbedtwk5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Mean Bedtime Weekend,mbedtend5,mbedtend5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Mean Mid-Sleep Time [The Midpoint Between Sleep Onset And Offset],mmidslpt5,mmidslpt5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Mean Mid-Sleep Time Std Dev,smidslpt5,smidslpt5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Mean Mid-Sleep Time Weekday,mmidslptwk5,mmidslptwk5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Mean Mid-Sleep Time Weekday Std Dev,smidslptwk5,smidslptwk5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Mean Mid-Sleep Time Weekend,mmidslptend5,mmidslptend5,,,,,,,
